SR.;NAME;GENDER;AGE;DATE ;COUNTRY
617;Rosma;Female;61;21/05/2025;Great Britain
618;Felisaas;Female;62;21/05/2026;France
619;Demetas;Female;63;15/10/2028;France
620;Jeromyw;Female;64;16/08/2027;United States
621;Rashid;Female;65;21/05/2026;United States
622;Nern ;Female;35;15/10/2021;United States
623;Kallsie;Female;36;16/08/2020;Great Britain
624;Siuau;Female;37;21/05/2019;France
625;Shennice;Female;38;21/05/2020;Great Britain
626;Chasse;Female;39;15/10/2022;France
627;Tommye;Female;40;16/08/2021;France
628;Dorcast;Female;41;21/05/2020;Great Britain
629;Angelee;Female;42;21/05/2021;France
630;Willoom;Female;43;15/10/2023;France
631;Waeston;Female;44;16/08/2022;United States
632;Rosma;Female;45;21/05/2021;United States
633;Felisaas;Female;46;21/05/2022;Great Britain
634;Demetas;Female;47;15/10/2024;France
635;Jeromyw;Female;48;16/08/2023;Great Britain
636;Rashid;Female;49;21/05/2022;France
637;Dett;Female;50;21/05/2023;France
638;Nern ;Female;51;15/10/2025;Great Britain
639;Kallsie;Female;52;16/08/2024;France
640;Siuau;Female;53;21/05/2023;France
641;Shennice;Female;54;21/05/2024;United States
642;Chasse;Female;55;15/10/2026;United States
643;Tommye;Female;56;16/08/2025;Great Britain
644;Dorcast;Female;57;21/05/2024;France
645;Angelee;Female;58;21/05/2025;Great Britain
646;Willoom;Female;59;15/10/2027;France
647;Waeston;Female;60;16/08/2026;France
648;Rosma;Female;61;21/05/2025;Great Britain
649;Felisaas;Female;62;21/05/2026;France
650;Demetas;Female;63;15/10/2028;France
651;Jeromyw;Female;64;16/08/2027;United States
652;Rashid;Female;65;21/05/2026;United States
653;Nern ;Female;35;15/10/2021;United States
654;Kallsie;Female;36;16/08/2020;Great Britain
655;Siuau;Female;37;21/05/2019;France
656;Shennice;Female;38;21/05/2020;Great Britain
657;Chasse;Female;39;15/10/2022;France
658;Tommye;Female;40;16/08/2021;France
659;Dorcast;Female;41;21/05/2020;Great Britain
660;Angelee;Female;42;21/05/2021;France
661;Willoom;Female;43;15/10/2023;France
662;Waeston;Female;44;16/08/2022;United States
663;Rosma;Female;45;21/05/2021;United States
664;Felisaas;Female;46;21/05/2022;Great Britain
665;Demetas;Female;47;15/10/2024;France
666;Jeromyw;Female;48;16/08/2023;Great Britain
667;Rashid;Female;49;21/05/2022;France
668;Dett;Female;50;21/05/2023;France
669;Nern ;Female;51;15/10/2025;Great Britain
670;Kallsie;Female;52;16/08/2024;France
671;Siuau;Female;53;21/05/2023;France
672;Shennice;Female;54;21/05/2024;United States
673;Chasse;Female;55;15/10/2026;United States
674;Tommye;Female;56;16/08/2025;Great Britain
675;Dorcast;Female;57;21/05/2024;France
676;Angelee;Female;58;21/05/2025;Great Britain
677;Willoom;Female;59;15/10/2027;France
678;Waeston;Female;60;16/08/2026;France
679;Rosma;Female;61;21/05/2025;Great Britain
680;Felisaas;Female;62;21/05/2026;France
681;Demetas;Female;63;15/10/2028;France
682;Jeromyw;Female;64;16/08/2027;United States
683;Rashid;Female;65;21/05/2026;United States
684;Nern ;Female;35;15/10/2021;United States
685;Kallsie;Female;36;16/08/2020;Great Britain
686;Siuau;Female;37;21/05/2019;France
687;Shennice;Female;38;21/05/2020;Great Britain
688;Chasse;Female;39;15/10/2022;France
689;Tommye;Female;40;16/08/2021;France
690;Dorcast;Female;41;21/05/2020;Great Britain
691;Angelee;Female;42;21/05/2021;France
692;Willoom;Female;43;15/10/2023;France
693;Waeston;Female;44;16/08/2022;United States
694;Rosma;Female;45;21/05/2021;United States
695;Felisaas;Female;46;21/05/2022;Great Britain
696;Demetas;Female;47;15/10/2024;France
697;Jeromyw;Female;48;16/08/2023;Great Britain
698;Rashid;Female;49;21/05/2022;France
699;Dett;Female;50;21/05/2023;France
700;Nern ;Female;51;15/10/2025;Great Britain
701;Kallsie;Female;52;16/08/2024;France
702;Siuau;Female;53;21/05/2023;France
703;Shennice;Female;54;21/05/2024;United States
704;Chasse;Female;55;15/10/2026;United States
705;Tommye;Female;56;16/08/2025;Great Britain
706;Dorcast;Female;57;21/05/2024;France
707;Angelee;Female;58;21/05/2025;Great Britain
708;Willoom;Female;59;15/10/2027;France
709;Waeston;Female;60;16/08/2026;France
710;Rosma;Female;61;21/05/2025;Great Britain
711;Felisaas;Female;62;21/05/2026;France
712;Demetas;Female;63;15/10/2028;France
713;Jeromyw;Female;64;16/08/2027;United States
714;Rashid;Female;65;21/05/2026;United States
715;Nern ;Female;35;15/10/2021;United States
716;Kallsie;Female;36;16/08/2020;Great Britain
717;Siuau;Female;37;21/05/2019;France
718;Shennice;Female;38;21/05/2020;Great Britain
719;Chasse;Female;39;15/10/2022;France
720;Tommye;Female;40;16/08/2021;France
721;Dorcast;Female;41;21/05/2020;Great Britain
722;Angelee;Female;42;21/05/2021;France
723;Willoom;Female;43;15/10/2023;France
724;Waeston;Female;44;16/08/2022;United States
725;Rosma;Female;45;21/05/2021;United States
726;Felisaas;Female;46;21/05/2022;Great Britain
727;Demetas;Female;47;15/10/2024;France
728;Jeromyw;Female;48;16/08/2023;Great Britain
729;Rashid;Female;49;21/05/2022;France
730;Dett;Female;50;21/05/2023;France
731;Nern ;Female;51;15/10/2025;Great Britain
732;Kallsie;Female;52;16/08/2024;France
733;Siuau;Female;53;21/05/2023;France
734;Shennice;Female;54;21/05/2024;United States
735;Chasse;Female;55;15/10/2026;United States
736;Tommye;Female;56;16/08/2025;Great Britain
737;Dorcast;Female;57;21/05/2024;France
738;Angelee;Female;58;21/05/2025;Great Britain
739;Willoom;Female;59;15/10/2027;France
740;Waeston;Female;60;16/08/2026;France
741;Rosma;Female;61;21/05/2025;Great Britain
742;Felisaas;Female;62;21/05/2026;France
743;Demetas;Female;63;15/10/2028;France
744;Jeromyw;Female;64;16/08/2027;United States
745;Rashid;Female;65;21/05/2026;United States
746;Nern ;Female;35;15/10/2021;United States
747;Kallsie;Female;36;16/08/2020;Great Britain
748;Siuau;Female;37;21/05/2019;France
749;Shennice;Female;38;21/05/2020;Great Britain
750;Chasse;Female;39;15/10/2022;France
751;Tommye;Female;40;16/08/2021;France
752;Dorcast;Female;41;21/05/2020;Great Britain
753;Angelee;Female;42;21/05/2021;France
754;Willoom;Female;43;15/10/2023;France
755;Waeston;Female;44;16/08/2022;United States
756;Rosma;Female;45;21/05/2021;United States
757;Felisaas;Female;46;21/05/2022;Great Britain
758;Demetas;Female;47;15/10/2024;France
759;Jeromyw;Female;48;16/08/2023;Great Britain
760;Rashid;Female;49;21/05/2022;France
761;Dett;Female;50;21/05/2023;France
762;Nern ;Female;51;15/10/2025;Great Britain
763;Kallsie;Female;52;16/08/2024;France
764;Siuau;Female;53;21/05/2023;France
765;Shennice;Female;54;21/05/2024;United States
766;Chasse;Female;55;15/10/2026;United States
767;Tommye;Female;56;16/08/2025;Great Britain
768;Dorcast;Female;57;21/05/2024;France
769;Angelee;Female;58;21/05/2025;Great Britain
770;Willoom;Female;59;15/10/2027;France
771;Waeston;Female;60;16/08/2026;France
772;Rosma;Female;61;21/05/2025;Great Britain
773;Felisaas;Female;62;21/05/2026;France
774;Demetas;Female;63;15/10/2028;France
775;Jeromyw;Female;64;16/08/2027;United States
776;Rashid;Female;65;21/05/2026;United States
777;Nern ;Female;35;15/10/2021;United States
778;Kallsie;Female;36;16/08/2020;Great Britain
779;Siuau;Female;37;21/05/2019;France
780;Shennice;Female;38;21/05/2020;Great Britain
781;Chasse;Female;39;15/10/2022;France
782;Tommye;Female;40;16/08/2021;France
783;Dorcast;Female;41;21/05/2020;Great Britain
784;Angelee;Female;42;21/05/2021;France
785;Willoom;Female;43;15/10/2023;France
786;Waeston;Female;44;16/08/2022;United States
787;Rosma;Female;45;21/05/2021;United States
788;Felisaas;Female;46;21/05/2022;Great Britain
789;Demetas;Female;47;15/10/2024;France
790;Jeromyw;Female;48;16/08/2023;Great Britain
791;Rashid;Female;49;21/05/2022;France
792;Dett;Female;50;21/05/2023;France
793;Nern ;Female;51;15/10/2025;Great Britain
794;Kallsie;Female;52;16/08/2024;France
795;Siuau;Female;53;21/05/2023;France
796;Shennice;Female;54;21/05/2024;United States
797;Chasse;Female;55;15/10/2026;United States
798;Tommye;Female;56;16/08/2025;Great Britain
799;Dorcast;Female;57;21/05/2024;France
800;Angelee;Female;58;21/05/2025;Great Britain
801;Willoom;Female;59;15/10/2027;France
802;Waeston;Female;60;16/08/2026;France
803;Rosma;Female;61;21/05/2025;Great Britain
804;Felisaas;Female;62;21/05/2026;France
805;Demetas;Female;63;15/10/2028;France
806;Jeromyw;Female;64;16/08/2027;United States
807;Rashid;Female;65;21/05/2026;United States
808;Nern ;Female;35;15/10/2021;United States
809;Kallsie;Female;36;16/08/2020;Great Britain
810;Siuau;Female;37;21/05/2019;France
811;Shennice;Female;38;21/05/2020;Great Britain
812;Chasse;Female;39;15/10/2022;France
813;Tommye;Female;40;16/08/2021;France
814;Dorcast;Female;41;21/05/2020;Great Britain
815;Angelee;Female;42;21/05/2021;France
816;Willoom;Female;43;15/10/2023;France
817;Waeston;Female;44;16/08/2022;United States
818;Rosma;Female;45;21/05/2021;United States
819;Felisaas;Female;46;21/05/2022;Great Britain
820;Demetas;Female;47;15/10/2024;France
821;Jeromyw;Female;48;16/08/2023;Great Britain
822;Rashid;Female;49;21/05/2022;France
823;Dett;Female;50;21/05/2023;France
824;Nern ;Female;51;15/10/2025;Great Britain
825;Kallsie;Female;52;16/08/2024;France
826;Siuau;Female;53;21/05/2023;France
827;Shennice;Female;54;21/05/2024;United States
828;Chasse;Female;55;15/10/2026;United States
829;Tommye;Female;56;16/08/2025;Great Britain
830;Dorcast;Female;57;21/05/2024;France
831;Angelee;Female;58;21/05/2025;Great Britain
832;Willoom;Female;59;15/10/2027;France
833;Waeston;Female;60;16/08/2026;France
834;Rosma;Female;61;21/05/2025;Great Britain
835;Felisaas;Female;62;21/05/2026;France
836;Demetas;Female;63;15/10/2028;France
837;Jeromyw;Female;64;16/08/2027;United States
838;Rashid;Female;65;21/05/2026;United States
839;Nern ;Female;35;15/10/2021;United States
840;Kallsie;Female;36;16/08/2020;Great Britain
841;Siuau;Female;37;21/05/2019;France
842;Shennice;Female;38;21/05/2020;Great Britain
843;Chasse;Female;39;15/10/2022;France
844;Tommye;Female;40;16/08/2021;France
845;Dorcast;Female;41;21/05/2020;Great Britain
846;Angelee;Female;42;21/05/2021;France
847;Willoom;Female;43;15/10/2023;France
848;Waeston;Female;44;16/08/2022;United States
849;Rosma;Female;45;21/05/2021;United States
850;Felisaas;Female;46;21/05/2022;Great Britain
851;Demetas;Female;47;15/10/2024;France
852;Jeromyw;Female;48;16/08/2023;Great Britain
853;Rashid;Female;49;21/05/2022;France
854;Dett;Female;50;21/05/2023;France
855;Nern ;Female;51;15/10/2025;Great Britain
856;Kallsie;Female;52;16/08/2024;France
857;Siuau;Female;53;21/05/2023;France
858;Shennice;Female;54;21/05/2024;United States
859;Chasse;Female;55;15/10/2026;United States
860;Tommye;Female;56;16/08/2025;Great Britain
861;Dorcast;Female;57;21/05/2024;France
862;Angelee;Female;58;21/05/2025;Great Britain
863;Willoom;Female;59;15/10/2027;France
864;Waeston;Female;60;16/08/2026;France
865;Rosma;Female;61;21/05/2025;Great Britain
866;Felisaas;Female;62;21/05/2026;France
867;Demetas;Female;63;15/10/2028;France
868;Jeromyw;Female;64;16/08/2027;United States
869;Rashid;Female;65;21/05/2026;United States
870;Nern ;Female;35;15/10/2021;United States
871;Kallsie;Female;36;16/08/2020;Great Britain
872;Siuau;Female;37;21/05/2019;France
873;Shennice;Female;38;21/05/2020;Great Britain
874;Chasse;Female;39;15/10/2022;France
875;Tommye;Female;40;16/08/2021;France
876;Dorcast;Female;41;21/05/2020;Great Britain
877;Angelee;Female;42;21/05/2021;France
878;Willoom;Female;43;15/10/2023;France
879;Waeston;Female;44;16/08/2022;United States
880;Rosma;Female;45;21/05/2021;United States
881;Felisaas;Female;46;21/05/2022;Great Britain
882;Demetas;Female;47;15/10/2024;France
883;Jeromyw;Female;48;16/08/2023;Great Britain
884;Rashid;Female;49;21/05/2022;France
885;Dett;Female;50;21/05/2023;France
886;Nern ;Female;51;15/10/2025;Great Britain
887;Kallsie;Female;52;16/08/2024;France
888;Siuau;Female;53;21/05/2023;France
889;Shennice;Female;54;21/05/2024;United States
890;Chasse;Female;55;15/10/2026;United States
891;Tommye;Female;56;16/08/2025;Great Britain
892;Dorcast;Female;57;21/05/2024;France
893;Angelee;Female;58;21/05/2025;Great Britain
894;Willoom;Female;59;15/10/2027;France
895;Waeston;Female;60;16/08/2026;France
896;Rosma;Female;61;21/05/2025;Great Britain
897;Felisaas;Female;62;21/05/2026;France
898;Demetas;Female;63;15/10/2028;France
899;Jeromyw;Female;64;16/08/2027;United States
900;Rashid;Female;65;21/05/2026;United States
901;Dett;Male;18;21/05/2015;Great Britain
902;Nern ;Female;19;15/10/2017;France
903;Kallsie;Male;20;16/08/2016;France
904;Siuau;Female;21;21/05/2015;Great Britain
905;Shennice;Male;22;21/05/2016;France
906;Chasse;Female;23;15/10/2018;France
907;Tommye;Male;24;16/08/2017;United States
908;Dorcast;Female;25;21/05/2016;United States
909;Angelee;Male;26;21/05/2017;Great Britain
910;Willoom;Female;27;15/10/2019;France
911;Waeston;Male;28;16/08/2018;Great Britain
912;Rosma;Female;29;21/05/2017;France
913;Felisaas;Male;30;21/05/2018;France
914;Demetas;Female;31;15/10/2020;Great Britain
915;Jeromyw;Female;32;16/08/2019;France
916;Rashid;Female;33;21/05/2018;France
917;Dett;Female;34;21/05/2019;United States
918;Nern ;Female;35;15/10/2021;United States
919;Kallsie;Female;36;16/08/2020;Great Britain
920;Siuau;Female;37;21/05/2019;France
921;Shennice;Female;38;21/05/2020;Great Britain
922;Chasse;Female;39;15/10/2022;France
923;Tommye;Female;40;16/08/2021;France
924;Dorcast;Female;41;21/05/2020;Great Britain
925;Angelee;Female;42;21/05/2021;France
926;Willoom;Female;43;15/10/2023;France
927;Waeston;Female;44;16/08/2022;United States
928;Rosma;Female;45;21/05/2021;United States
929;Felisaas;Female;46;21/05/2022;Great Britain
930;Demetas;Female;47;15/10/2024;France
931;Jeromyw;Female;48;16/08/2023;Great Britain
932;Rashid;Female;49;21/05/2022;France
933;Dett;Female;50;21/05/2023;France
934;Nern ;Female;51;15/10/2025;Great Britain
935;Kallsie;Female;52;16/08/2024;France
936;Siuau;Female;53;21/05/2023;France
937;Shennice;Female;54;21/05/2024;United States
938;Chasse;Female;55;15/10/2026;United States
939;Tommye;Female;56;16/08/2025;Great Britain
940;Dorcast;Female;57;21/05/2024;France
941;Angelee;Female;58;21/05/2025;Great Britain
942;Willoom;Female;59;15/10/2027;France
943;Waeston;Female;60;16/08/2026;France
944;Rosma;Female;61;21/05/2025;Great Britain
945;Felisaas;Female;62;21/05/2026;France
946;Demetas;Female;63;15/10/2028;France
947;Jeromyw;Female;64;16/08/2027;United States
948;Rashid;Female;65;21/05/2026;United States
949;Dett;Male;18;21/05/2015;Great Britain
950;Nern ;Female;19;15/10/2017;France
951;Kallsie;Male;20;16/08/2016;France
952;Siuau;Female;21;21/05/2015;Great Britain
953;Shennice;Male;22;21/05/2016;France
954;Chasse;Female;23;15/10/2018;France
955;Tommye;Male;24;16/08/2017;United States
956;Dorcast;Female;25;21/05/2016;United States
957;Angelee;Male;26;21/05/2017;Great Britain
958;Willoom;Female;27;15/10/2019;France
959;Waeston;Male;28;16/08/2018;Great Britain
960;Rosma;Female;29;21/05/2017;France
961;Felisaas;Male;30;21/05/2018;France
962;Demetas;Female;31;15/10/2020;Great Britain
963;Jeromyw;Female;32;16/08/2019;France
964;Rashid;Female;33;21/05/2018;France
965;Dett;Female;34;21/05/2019;United States
966;Nern ;Female;35;15/10/2021;United States
967;Kallsie;Female;36;16/08/2020;Great Britain
968;Siuau;Female;37;21/05/2019;France
969;Shennice;Female;38;21/05/2020;Great Britain
970;Chasse;Female;39;15/10/2022;France
971;Tommye;Female;40;16/08/2021;France
972;Dorcast;Female;41;21/05/2020;Great Britain
973;Angelee;Female;42;21/05/2021;France
974;Willoom;Female;43;15/10/2023;France
975;Waeston;Female;44;16/08/2022;United States
976;Rosma;Female;45;21/05/2021;United States
977;Felisaas;Female;46;21/05/2022;Great Britain
978;Demetas;Female;47;15/10/2024;France
979;Jeromyw;Female;48;16/08/2023;Great Britain
980;Rashid;Female;49;21/05/2022;France
981;Dett;Female;50;21/05/2023;France
982;Nern ;Female;51;15/10/2025;Great Britain
983;Kallsie;Female;52;16/08/2024;France
984;Siuau;Female;53;21/05/2023;France
985;Shennice;Female;54;21/05/2024;United States
986;Chasse;Female;55;15/10/2026;United States
987;Tommye;Female;56;16/08/2025;Great Britain
988;Dorcast;Female;57;21/05/2024;France
989;Angelee;Female;58;21/05/2025;Great Britain
990;Willoom;Female;59;15/10/2027;France
991;Waeston;Female;60;16/08/2026;France
992;Rosma;Female;61;21/05/2025;Great Britain
993;Felisaas;Female;62;21/05/2026;France
994;Demetas;Female;63;15/10/2028;France
995;Jeromyw;Female;64;16/08/2027;United States
996;Rashid;Female;65;21/05/2026;United States
997;Dett;Male;18;21/05/2015;Great Britain
998;Nern ;Female;19;15/10/2017;France
999;Kallsie;Male;20;16/08/2016;France
1000;Siuau;Female;21;21/05/2015;Great Britain
1001;Shennice;Male;22;21/05/2016;France
1002;Chasse;Female;23;15/10/2018;France
1003;Tommye;Male;24;16/08/2017;United States
1004;Dorcast;Female;25;21/05/2016;United States
1005;Angelee;Male;26;21/05/2017;Great Britain
1006;Willoom;Female;27;15/10/2019;France
1007;Waeston;Male;28;16/08/2018;Great Britain
1008;Rosma;Female;29;21/05/2017;France
1009;Felisaas;Male;30;21/05/2018;France
1010;Demetas;Female;31;15/10/2020;Great Britain
1011;Jeromyw;Female;32;16/08/2019;France
1012;Rashid;Female;33;21/05/2018;France
1013;Dett;Female;34;21/05/2019;United States
1014;Nern ;Female;35;15/10/2021;United States
1015;Kallsie;Female;36;16/08/2020;Great Britain
1016;Siuau;Female;37;21/05/2019;France
1017;Shennice;Female;38;21/05/2020;Great Britain
1018;Chasse;Female;39;15/10/2022;France
1019;Tommye;Female;40;16/08/2021;France
1020;Dorcast;Female;41;21/05/2020;Great Britain
1021;Angelee;Female;42;21/05/2021;France
1022;Willoom;Female;43;15/10/2023;France
1023;Waeston;Female;44;16/08/2022;United States
1024;Rosma;Female;45;21/05/2021;United States
1025;Felisaas;Female;46;21/05/2022;Great Britain
1026;Demetas;Female;47;15/10/2024;France
1027;Jeromyw;Female;48;16/08/2023;Great Britain
1028;Rashid;Female;49;21/05/2022;France
1029;Dett;Female;50;21/05/2023;France
1030;Nern ;Female;51;15/10/2025;Great Britain
1031;Kallsie;Female;52;16/08/2024;France
1032;Siuau;Female;53;21/05/2023;France
1033;Shennice;Female;54;21/05/2024;United States
1034;Chasse;Female;55;15/10/2026;United States
1035;Tommye;Female;56;16/08/2025;Great Britain
1036;Dorcast;Female;57;21/05/2024;France
1037;Angelee;Female;58;21/05/2025;Great Britain
1038;Willoom;Female;59;15/10/2027;France
1039;Waeston;Female;60;16/08/2026;France
1040;Rosma;Female;61;21/05/2025;Great Britain
1041;Felisaas;Female;62;21/05/2026;France
1042;Demetas;Female;63;15/10/2028;France
1043;Jeromyw;Female;64;16/08/2027;United States
1044;Rashid;Female;65;21/05/2026;United States
1045;Dett;Male;18;21/05/2015;Great Britain
1046;Nern ;Female;19;15/10/2017;France
1047;Kallsie;Male;20;16/08/2016;France
1048;Siuau;Female;21;21/05/2015;Great Britain
1049;Shennice;Male;22;21/05/2016;France
1050;Chasse;Female;23;15/10/2018;France
1051;Tommye;Male;24;16/08/2017;United States
1052;Dorcast;Female;25;21/05/2016;United States
1053;Angelee;Male;26;21/05/2017;Great Britain
1054;Willoom;Female;27;15/10/2019;France
1055;Waeston;Male;28;16/08/2018;Great Britain
1056;Rosma;Female;29;21/05/2017;France
1057;Felisaas;Male;30;21/05/2018;France
1058;Demetas;Female;31;15/10/2020;Great Britain
1059;Jeromyw;Female;32;16/08/2019;France
1060;Rashid;Female;33;21/05/2018;France
1061;Dett;Female;34;21/05/2019;United States
1062;Nern ;Female;35;15/10/2021;United States
1063;Kallsie;Female;36;16/08/2020;Great Britain
1064;Siuau;Female;37;21/05/2019;France
1065;Shennice;Female;38;21/05/2020;Great Britain
1066;Chasse;Female;39;15/10/2022;France
1067;Tommye;Female;40;16/08/2021;France
1068;Dorcast;Female;41;21/05/2020;Great Britain
1069;Angelee;Female;42;21/05/2021;France
1070;Willoom;Female;43;15/10/2023;France
1071;Waeston;Female;44;16/08/2022;United States
1072;Rosma;Female;45;21/05/2021;United States
1073;Felisaas;Female;46;21/05/2022;Great Britain
1074;Demetas;Female;47;15/10/2024;France
1075;Jeromyw;Female;48;16/08/2023;Great Britain
1076;Rashid;Female;49;21/05/2022;France
1077;Dett;Female;50;21/05/2023;France
1078;Nern ;Female;51;15/10/2025;Great Britain
1079;Kallsie;Female;52;16/08/2024;France
1080;Siuau;Female;53;21/05/2023;France
1081;Shennice;Female;54;21/05/2024;United States
1082;Chasse;Female;55;15/10/2026;United States
1083;Tommye;Female;56;16/08/2025;Great Britain
1084;Dorcast;Female;57;21/05/2024;France
1085;Angelee;Female;58;21/05/2025;Great Britain
1086;Willoom;Female;59;15/10/2027;France
1087;Waeston;Female;60;16/08/2026;France
1088;Rosma;Female;61;21/05/2025;Great Britain
1089;Felisaas;Female;62;21/05/2026;France
1090;Demetas;Female;63;15/10/2028;France
1091;Jeromyw;Female;64;16/08/2027;United States
1092;Rashid;Female;65;21/05/2026;United States
1093;Dett;Male;18;21/05/2015;Great Britain
1094;Nern ;Female;19;15/10/2017;France
1095;Kallsie;Male;20;16/08/2016;France
1096;Siuau;Female;21;21/05/2015;Great Britain
1097;Shennice;Male;22;21/05/2016;France
1098;Chasse;Female;23;15/10/2018;France
1099;Tommye;Male;24;16/08/2017;United States
1100;Dorcast;Female;25;21/05/2016;United States
1101;Angelee;Male;26;21/05/2017;Great Britain
1102;Willoom;Female;27;15/10/2019;France
1103;Waeston;Male;28;16/08/2018;Great Britain
1104;Rosma;Female;29;21/05/2017;France
1105;Felisaas;Male;30;21/05/2018;France
1106;Demetas;Female;31;15/10/2020;Great Britain
1107;Jeromyw;Female;32;16/08/2019;France
1108;Rashid;Female;33;21/05/2018;France
1109;Dett;Female;34;21/05/2019;United States
1110;Nern ;Female;35;15/10/2021;United States
1111;Kallsie;Female;36;16/08/2020;Great Britain
1112;Siuau;Female;37;21/05/2019;France
1113;Shennice;Female;38;21/05/2020;Great Britain
1114;Chasse;Female;39;15/10/2022;France
1115;Tommye;Female;40;16/08/2021;France
1116;Dorcast;Female;41;21/05/2020;Great Britain
1117;Angelee;Female;42;21/05/2021;France
1118;Willoom;Female;43;15/10/2023;France
1119;Waeston;Female;44;16/08/2022;United States
1120;Rosma;Female;45;21/05/2021;United States
1121;Felisaas;Female;46;21/05/2022;Great Britain
1122;Demetas;Female;47;15/10/2024;France
1123;Jeromyw;Female;48;16/08/2023;Great Britain
1124;Rashid;Female;49;21/05/2022;France
1125;Dett;Female;50;21/05/2023;France
1126;Nern ;Female;51;15/10/2025;Great Britain
1127;Kallsie;Female;52;16/08/2024;France
1128;Siuau;Female;53;21/05/2023;France
1129;Shennice;Female;54;21/05/2024;United States
1130;Chasse;Female;55;15/10/2026;United States
1131;Tommye;Female;56;16/08/2025;Great Britain
1132;Dorcast;Female;57;21/05/2024;France
1133;Angelee;Female;58;21/05/2025;Great Britain
1134;Willoom;Female;59;15/10/2027;France
1135;Waeston;Female;60;16/08/2026;France
1136;Rosma;Female;61;21/05/2025;Great Britain
1137;Felisaas;Female;62;21/05/2026;France
1138;Demetas;Female;63;15/10/2028;France
1139;Jeromyw;Female;64;16/08/2027;United States
1140;Rashid;Female;65;21/05/2026;United States
1141;Dett;Male;18;21/05/2015;Great Britain
1142;Nern ;Female;19;15/10/2017;France
1143;Kallsie;Male;20;16/08/2016;France
1144;Siuau;Female;21;21/05/2015;Great Britain
1145;Shennice;Male;22;21/05/2016;France
1146;Chasse;Female;23;15/10/2018;France
1147;Tommye;Male;24;16/08/2017;United States
1148;Dorcast;Female;25;21/05/2016;United States
1149;Angelee;Male;26;21/05/2017;Great Britain
1150;Willoom;Female;27;15/10/2019;France
1151;Waeston;Male;28;16/08/2018;Great Britain
1152;Rosma;Female;29;21/05/2017;France
1153;Felisaas;Male;30;21/05/2018;France
1154;Demetas;Female;31;15/10/2020;Great Britain
1155;Jeromyw;Female;32;16/08/2019;France
1156;Rashid;Female;33;21/05/2018;France
1157;Dett;Female;34;21/05/2019;United States
1158;Nern ;Female;35;15/10/2021;United States
1159;Kallsie;Female;36;16/08/2020;Great Britain
1160;Siuau;Female;37;21/05/2019;France
1161;Shennice;Female;38;21/05/2020;Great Britain
1162;Chasse;Female;39;15/10/2022;France
1163;Tommye;Female;40;16/08/2021;France
1164;Dorcast;Female;41;21/05/2020;Great Britain
1165;Angelee;Female;42;21/05/2021;France
1166;Willoom;Female;43;15/10/2023;France
1167;Waeston;Female;44;16/08/2022;United States
1168;Rosma;Female;45;21/05/2021;United States
1169;Felisaas;Female;46;21/05/2022;Great Britain
1170;Demetas;Female;47;15/10/2024;France
1171;Jeromyw;Female;48;16/08/2023;Great Britain
1172;Rashid;Female;49;21/05/2022;France
1173;Dett;Female;50;21/05/2023;France
1174;Nern ;Female;51;15/10/2025;Great Britain
1175;Kallsie;Female;52;16/08/2024;France
1176;Siuau;Female;53;21/05/2023;France
1177;Shennice;Female;54;21/05/2024;United States
1178;Chasse;Female;55;15/10/2026;United States
1179;Tommye;Female;56;16/08/2025;Great Britain
1180;Dorcast;Female;57;21/05/2024;France
1181;Angelee;Female;58;21/05/2025;Great Britain
1182;Willoom;Female;59;15/10/2027;France
1183;Waeston;Female;60;16/08/2026;France
1184;Rosma;Female;61;21/05/2025;Great Britain
1185;Felisaas;Female;62;21/05/2026;France
1186;Demetas;Female;63;15/10/2028;France
1187;Jeromyw;Female;64;16/08/2027;United States
1188;Rashid;Female;65;21/05/2026;United States
1189;Dett;Male;18;21/05/2015;Great Britain
1190;Nern ;Female;19;15/10/2017;France
1191;Kallsie;Male;20;16/08/2016;France
1192;Siuau;Female;21;21/05/2015;Great Britain
1193;Shennice;Male;22;21/05/2016;France
1194;Chasse;Female;23;15/10/2018;France
1195;Tommye;Male;24;16/08/2017;United States
1196;Dorcast;Female;25;21/05/2016;United States
1197;Angelee;Male;26;21/05/2017;Great Britain
1198;Willoom;Female;27;15/10/2019;France
1199;Waeston;Male;28;16/08/2018;Great Britain
1200;Rosma;Female;29;21/05/2017;France
1201;Felisaas;Male;30;21/05/2018;France
1202;Demetas;Female;31;15/10/2020;Great Britain
1203;Jeromyw;Female;32;16/08/2019;France
1204;Rashid;Female;33;21/05/2018;France
1205;Dett;Female;34;21/05/2019;United States
1206;Nern ;Female;35;15/10/2021;United States
1207;Kallsie;Female;36;16/08/2020;Great Britain
1208;Siuau;Female;37;21/05/2019;France
1209;Shennice;Female;38;21/05/2020;Great Britain
1210;Chasse;Female;39;15/10/2022;France
1211;Tommye;Female;40;16/08/2021;France
1212;Dorcast;Female;41;21/05/2020;Great Britain
1213;Angelee;Female;42;21/05/2021;France
1214;Willoom;Female;43;15/10/2023;France
1215;Waeston;Female;44;16/08/2022;United States
1216;Rosma;Female;45;21/05/2021;United States
1217;Felisaas;Female;46;21/05/2022;Great Britain
1218;Demetas;Female;47;15/10/2024;France
1219;Jeromyw;Female;48;16/08/2023;Great Britain
1220;Rashid;Female;49;21/05/2022;France
1221;Dett;Female;50;21/05/2023;France
1222;Nern ;Female;51;15/10/2025;Great Britain
